Match,HomeTeam,AwayTeam,HomeGoals,AwayGoals
1,Mexiko,Sydafrika,2,0
2,Sydkorea,Tjeckien,2,1
3,Kanada,Bosnien och Hercegovina,1,1
4,USA,Paraguay,4,1
5,Qatar,Schweiz,1,1
6,Brasilien,Marocko,1,1
7,Haiti,Skottland,0,1
8,Australien,Turkiet,2,0
9,Tyskland,Curaçao,7,1
10,Nederländerna,Japan,2,2
11,Elfenbenskusten,Ecuador,1,0
12,Sverige,Tunisien,5,1
13,Spanien,Kap Verde,0,0
14,Belgien,Egypten,1,1
15,Saudiarabien,Uruguay,1,1
16,Iran,Nya Zeeland,2,2
17,Frankrike,Senegal,3,1
18,Irak,Norge,1,4
19,Argentina,Algeriet,3,0
20,Österrike,Jordanien,3,1
21,Portugal,DR Kongo,1,1
22,England,Kroatien,4,2
23,Ghana,Panama,1,0
24,Uzbekistan,Colombia,1,3
25,Tjeckien,Sydafrika,1,1
26,Schweiz,Bosnien och Hercegovina,4,1
27,Kanada,Qatar,6,0
28,Mexiko,Sydkorea,1,0
29,USA,Australien,2,0
30,Skottland,Marocko,0,1
31,Brasilien,Haiti,3,0
32,Turkiet,Paraguay,0,1
33,Nederländerna,Sverige,5,1
34,Tyskland,Elfenbenskusten,2,1
35,Ecuador,Curaçao,0,0
36,Tunisien,Japan,0,4
37,Spanien,Saudiarabien,4,0
38,Belgien,Iran,0,0
39,Uruguay,Kap Verde,2,2
40,Nya Zeeland,Egypten,1,3
41,Argentina,Österrike,2,0
42,Frankrike,Irak,3,0
43,Norge,Senegal,3,2
44,Jordanien,Algeriet,1,2
45,Portugal,Uzbekistan,5,0
46,England,Ghana,0,0
